permissionID,name,description
commercial-use,Commercial use,The licensed material and derivatives may be used for commercial purposes.
distribution,Distribution,The licensed material may be distributed.
modifications,Modifications,The licensed material may be modified.
patent-use,Patent use,This license provides an express grant of patent rights from contributors.
private-use,Private use,The licensed material may be used and modified in private.
